feed_name,feed_description,gtfs_zip_url
basin-or-us,Basin Transit Service: Klamath Falls Oregon,http://oregon-gtfs.com/gtfs_data/basin-or-us/gtfs.zip
benton-or-us,Benton County Oregon,http://oregon-gtfs.com/gtfs_data/benton-or-us/gtfs.zip
bluestar-or-us,Blue Star Transportation: Portland Oregon,http://oregon-gtfs.com/gtfs_data/bluestar-or-us/gtfs.zip
caravan-or-us,Caravan Airport Transportation: Lincoln City Oregon,http://oregon-gtfs.com/gtfs_data/caravan-or-us/gtfs.zip
cascadeseast-or-us,Cascades East Transit: Redmond Oregon,http://oregon-gtfs.com/gtfs_data/cascadeseast-or-us/gtfs.zip
hoodriver-or-us,Columbia Area Transit: Hood River Oregon,http://oregon-gtfs.com/gtfs_data/hoodriver-or-us/gtfs.zip
columbiacounty-or-us,Columbia County Rider: St. Helens Oregon,http://oregon-gtfs.com/gtfs_data/columbiacounty-or-us/gtfs.zip
cooscounty-or-us,"Coos County Area Transit (Coos Bay, Oregon)",http://oregon-gtfs.com/gtfs_data/cooscounty-or-us/gtfs.zip
hut-or-us,HUT Airport Shuttle Albany Oregon,http://oregon-gtfs.com/gtfs_data/hut-or-us/gtfs.zip
josephinecounty-or-us,Josephine County Transit,http://oregon-gtfs.com/gtfs_data/josephinecounty-or-us/gtfs.zip
lincolncounty-or-us,Lincoln County Transit,http://oregon-gtfs.com/gtfs_data/lincolncounty-or-us/gtfs.zip
lanetransitdistrict-or-us,Lane Transit District: Eugene Oregon,http://www.ltd.org/googlepublic/LTD_GTFS.zip
linnshuttle-or-us,Linn Shuttle: Sweet Home Oregon,http://oregon-gtfs.com/gtfs_data/linnshuttle-or-us/gtfs.zip
northwestpoint-or-us,North West Point: Eugene Oregon,http://oregon-gtfs.com/gtfs_data/northwestpoint-or-us/gtfs.zip
cascadesthruway-or-us,OC&W Amtrak Cascades Thruway Connector,http://oregon-gtfs.com/gtfs_data/cascadesthruway-or-us/gtfs.zip
peoplemover-or-us,People Mover: John Day Oregon,http://oregon-gtfs.com/gtfs_data/peoplemover-or-us/gtfs.zip
porterstage-or-us,Porter Stage Lines: Coos Bay Oregon,http://oregon-gtfs.com/gtfs_data/porterstage-or-us/gtfs.zip
sandy-or-us,Sandy Area Metro: Sandy Oregon,http://oregon-gtfs.com/gtfs_data/sandy-or-us/gtfs.zip
sunsetempiretransportation-or-us,The Bus: Astoria Oregon,http://www.ridethebus.org/Google_Transit/google_transit.zip
southwestpoint-or-us,TAC Transportation: SouthWest Point,http://oregon-gtfs.com/gtfs_data/southwestpoint-or-us/gtfs.zip
northeastoregon-or-us,Northeast Oregon Public Transit: Includes Baker City Community Connection and Wallowa Community Connection,http://oregon-gtfs.com/gtfs_data/northeast-or-us/gtfs.zip
tillamook-or-us,The Wave: Tillamook Oregon,http://trilliumtransit.com/transit_feeds/tillamook-or-us/gtfs.zip
umpquatransit-or-us,Utrans: Roseburg Oregon,http://oregon-gtfs.com/gtfs_data/umpquatransit-or-us/gtfs.zip
rideconnection-or-us,Ride Connection: Portland Oregon,http://oregon-gtfs.com/gtfs_data/rideconnection-or-us/gtfs.zip
roguevalleytransportationdistrict-medford-or-us,Rogue Valley Transportation District: Medford Oregon,http://www.rvtd.org/images/subpages/GTFS_feed.zip
valleyretriever-or-us,Valley Retriever: Newport Oregon,http://oregon-gtfs.com/gtfs_data/valleyretriever-or-us/gtfs.zip
yamhill-or-us,"Yamhill County Area Transit (McMinnville, Oregon)",http://oregon-gtfs.com/gtfs_data/yamhill-or-us/gtfs.zip
salemkaisertransit-salem-or-us,Cherriots: Salem Oregon,http://www.cherriots.org/developer/gtfs.zip
wilsonville-or-us,South Metro Area Regional Transit: Wilsonville Oregon,http://trilliumtransit.com/transit_feeds/wilsonville-or-us/gtfs.zip
southlanewheels-or-us,South Lane Wheels: Cottage Grove Oregon,http://oregon-gtfs.com/gtfs_data/southlanewheels-or-us/gtfs.zip
swanislandeveningshuttle-or-us,Swan Island Evening Shuttle: Portland Oregon,http://oregon-gtfs.com/gtfs_data/swanisland-or-us/gtfs.zip
trimet-portland-or-us,TriMet: Portland Oregon Metro,http://developer.trimet.org/schedule/gtfs.zip
woodburn-or-us,Woodburn Transit Service Woodburn Oregon,http://oregon-gtfs.com/gtfs_data/woodburn-or-us/gtfs.zip